case,refinement,N,h,dt,L2_error,H1_error
omega6.28319,0,128,0.0078125,0.02,0.00100916,0.0275845
omega6.28319,1,128,0.0078125,0.01,0.000235363,0.0272804
omega6.28319,2,128,0.0078125,0.005,6.22116e-05,0.0272742
omega6.28319,3,128,0.0078125,0.0025,5.29334e-05,0.0272743
