case,refinement,N,h,dt,L2_error,H1_error
omega4.44288,0,128,0.0078125,0.02,0.000515433,0.0166603
omega4.44288,1,128,0.0078125,0.01,8.37478e-05,0.0165305
omega4.44288,2,128,0.0078125,0.005,4.1432e-05,0.0165364
omega4.44288,3,128,0.0078125,0.0025,6.39849e-05,0.0165357
