case,refinement,N,h,dt,L2_error,H1_error
omega6.28319,0,4,0.25,0.0001,0.0653904,1.01101
omega6.28319,1,8,0.125,0.0001,0.0154123,0.45195
omega6.28319,2,16,0.0625,0.0001,0.00373983,0.220269
omega6.28319,3,32,0.03125,0.0001,0.000938735,0.109413
omega6.28319,4,64,0.015625,0.0001,0.000235853,0.0545911
omega6.28319,5,128,0.0078125,0.0001,5.95974e-05,0.0272752
