t,energy
0,2.468892395932589
0.02,2.468892395934355
0.04,2.468892395936938
0.06,2.468892395936079
0.08,2.468892395938961
0.1,2.468892395964735
0.12,2.468892395968799
0.14,2.468892395973223
0.16,2.468892396002373
0.18,2.4688923960291
0.2,2.468892396050504
0.22,2.468892396089355
0.24,2.468892396151435
0.26,2.46889239622219
0.28,2.468892396324484
0.3,2.468892396477592
0.32,2.468892396738305
0.34,2.468892397260897
0.36,2.468892400290772
0.3800000000000001,2.468892399417516
0.4000000000000001,2.468892399005313
0.4200000000000001,2.468892398742173
0.4400000000000001,2.468892398545839
0.4600000000000001,2.468892398396552
0.4800000000000001,2.468892398275432
0.5000000000000001,2.468892398178249
0.5200000000000001,2.468892398101171
0.5400000000000001,2.468892398032838
0.5600000000000002,2.468892397981088
0.5800000000000002,2.468892397942091
0.6000000000000002,2.468892397904842
0.6200000000000002,2.468892397878009
0.6400000000000002,2.468892397876802
0.6600000000000003,2.468892397875997
0.6800000000000003,2.468892397878564
0.7000000000000003,2.468892397880105
0.7200000000000003,2.46889239842106
0.7400000000000003,2.468892398419856
0.7600000000000003,2.468892398422532
0.7800000000000004,2.468892398420678
0.8000000000000004,2.468892398421918
0.8200000000000004,2.468892398446587
0.8400000000000004,2.468892398491766
0.8600000000000004,2.468892398531253
0.8800000000000004,2.468892398600822
0.9000000000000005,2.468892398670405
0.9200000000000005,2.468892398771524
0.9400000000000005,2.468892398892907
0.9600000000000005,2.468892399039122
0.9800000000000005,2.468892399264394
1,2.468892399503942
1.02,2.468892399957608
1.04,2.468892400590612
1.06,2.468892402536354
1.080000000000001,2.468892400157352
1.100000000000001,2.468892399525964
1.120000000000001,2.468892399055273
1.140000000000001,2.468892398786646
1.160000000000001,2.468892398608607
1.180000000000001,2.468892398432919
1.200000000000001,2.468892398313307
1.220000000000001,2.468892398210377
1.240000000000001,2.468892398129393
1.260000000000001,2.468892398078885
1.280000000000001,2.468892398030713
1.300000000000001,2.468892397991268
1.320000000000001,2.468892397987755
1.340000000000001,2.468892397985727
1.360000000000001,2.468892397990012
1.380000000000001,2.468892397992727
1.400000000000001,2.468892397990945
1.420000000000001,2.468892397655122
1.440000000000001,2.468892397744548
1.460000000000001,2.468892397743087
1.480000000000001,2.468892397744204
1.500000000000001,2.468892397750024
1.520000000000001,2.468892397774932
1.540000000000001,2.46889239780425
1.560000000000001,2.468892397839045
1.580000000000001,2.468892397917271
1.600000000000001,2.468892397973671
1.620000000000001,2.46889239806781
1.640000000000001,2.468892398167012
1.660000000000001,2.468892398334978
1.680000000000001,2.468892398475433
1.700000000000001,2.468892398774555
1.720000000000001,2.468892399084822
1.740000000000001,2.468892399685952
1.760000000000001,2.468892400707983
1.780000000000001,2.468892394197713
1.800000000000001,2.4688923932214
1.820000000000001,2.468892392703794
1.840000000000001,2.468892392351956
1.860000000000001,2.468892392133998
1.880000000000001,2.468892391926675
1.900000000000001,2.468892391788371
1.920000000000001,2.468892391678044
1.940000000000001,2.468892391600457
1.960000000000001,2.468892391504932
1.980000000000001,2.468892391459474
2.000000000000001,2.468892391423351
2.020000000000001,2.468892391374186
2.040000000000001,2.468892391372821
2.060000000000001,2.468892391377957
2.080000000000001,2.468892391379963
2.100000000000001,2.46889239137816
2.120000000000001,2.468892391285114
2.140000000000001,2.468892391526297
2.160000000000001,2.468892391530059
2.180000000000001,2.468892391531081
2.200000000000002,2.468892391527458
2.220000000000002,2.468892391538332
2.240000000000002,2.468892391568486
2.260000000000002,2.468892391585608
2.280000000000002,2.468892391660816
2.300000000000002,2.468892391727583
2.320000000000002,2.468892391802644
2.340000000000002,2.468892391908397
2.360000000000002,2.468892392058029
2.380000000000002,2.468892392225861
2.400000000000002,2.468892392428875
2.420000000000002,2.468892392760184
2.440000000000002,2.468892393309286
2.460000000000002,2.468892394001608
2.480000000000002,2.468892397883339
2.500000000000002,2.468892396331757
2.520000000000002,2.468892395742481
2.540000000000002,2.46889239539131
2.560000000000002,2.468892395087547
2.580000000000002,2.468892394912326
2.600000000000002,2.468892394750184
2.620000000000002,2.468892394639337
2.640000000000002,2.468892394527119
2.660000000000002,2.468892394464834
2.680000000000002,2.468892394411899
2.700000000000002,2.468892394349662
2.720000000000002,2.468892394317854
2.740000000000002,2.468892394318855
2.760000000000002,2.468892394312425
2.780000000000002,2.468892394317169
2.800000000000002,2.468892394317175
2.820000000000002,2.468892394331459
2.840000000000002,2.468892397099443
2.860000000000002,2.468892397155417
2.880000000000002,2.468892397155909
2.900000000000002,2.46889239715515
2.920000000000002,2.468892397156305
2.940000000000002,2.468892397187752
2.960000000000002,2.468892397222528
2.980000000000002,2.468892397266416
3.000000000000002,2.468892397326199
3.020000000000002,2.468892397399706
3.040000000000002,2.46889239747878
3.060000000000002,2.468892397605542
3.080000000000002,2.468892397751897
3.100000000000002,2.468892397929338
3.120000000000002,2.468892398200348
3.140000000000002,2.46889239856635
3.160000000000002,2.468892399197717
3.180000000000002,2.468892400598538
3.200000000000002,2.468892397457667
3.220000000000002,2.468892396739024
3.240000000000002,2.468892396344853
3.260000000000002,2.468892396025336
3.280000000000002,2.468892395850632
3.300000000000002,2.468892395701214
3.320000000000003,2.468892395567557
3.340000000000003,2.468892395481346
3.360000000000003,2.468892395407143
3.380000000000003,2.468892395352827
3.400000000000003,2.468892395311647
3.420000000000003,2.468892395275966
3.440000000000003,2.468892395258871
3.460000000000003,2.468892395256135
3.480000000000003,2.468892395258762
3.500000000000003,2.46889239525829
3.520000000000003,2.468892395257902
3.540000000000003,2.468892395085348
3.560000000000003,2.468892395151672
3.580000000000003,2.468892395152995
3.600000000000003,2.468892395155271
3.620000000000003,2.468892395151652
3.640000000000003,2.468892395181131
3.660000000000003,2.468892395200084
3.680000000000003,2.468892395232162
3.700000000000003,2.46889239527479
3.720000000000003,2.468892395325265
3.740000000000003,2.46889239539424
3.760000000000003,2.468892395486699
3.780000000000003,2.468892395582521
3.800000000000003,2.468892395734682
3.820000000000003,2.468892395928558
3.840000000000003,2.468892396182767
3.860000000000003,2.468892396666015
3.880000000000003,2.468892397362847
3.900000000000003,2.468892400059377
3.920000000000003,2.468892399133829
3.940000000000003,2.468892398744032
3.960000000000003,2.468892398469305
3.980000000000003,2.468892398295061
4.000000000000003,2.468892398150324
4.020000000000002,2.46889239803413
4.040000000000002,2.468892397962344
4.060000000000001,2.468892397894284
4.080000000000001,2.46889239784673
4.100000000000001,2.468892397807501
4.12,2.468892397772172
4.14,2.468892397742704
4.159999999999999,2.468892397735286
4.179999999999999,2.468892397731111
4.199999999999998,2.468892397729017
4.219999999999998,2.468892397734423
4.239999999999998,2.468892397729738
4.259999999999997,2.468892398006608
4.279999999999997,2.468892398005914
4.299999999999996,2.468892398012196
4.319999999999996,2.468892398010433
4.339999999999995,2.468892398021755
4.359999999999995,2.468892398050408
4.379999999999995,2.468892398073282
4.399999999999994,2.468892398118217
4.419999999999994,2.468892398162364
4.439999999999993,2.468892398209567
4.459999999999993,2.468892398294797
4.479999999999992,2.468892398385846
4.499999999999992,2.468892398511157
4.519999999999992,2.468892398677576
4.539999999999991,2.468892398880583
4.559999999999991,2.468892399237805
4.57999999999999,2.468892399787057
4.59999999999999,2.468892401883017
4.619999999999989,2.468892400516677
4.639999999999989,2.468892400031233
4.659999999999989,2.468892399703758
4.679999999999988,2.468892399481363
4.699999999999988,2.468892399364452
4.719999999999987,2.468892399217627
4.739999999999987,2.468892399144742
