dt,h,dt_over_h,phase_error_radians
0.01,0.02,0.5,0.027661
0.015,0.02,0.75,-0.00945943
0.02,0.02,1,-0.0495765
0.025,0.02,1.25,-0.0962786
0.03,0.02,1.5,-0.157552
